,GOOG,MSFT
2017-10-24,1.0424098877593684,0.8863870729061979
2017-10-25,1.0424098877593684,0.8863870729061981
2017-10-26,1.0424098877593684,0.8649991433196629
2017-10-27,1.1113287070914888,0.8775645989039379
2017-10-30,1.1113287070914888,0.8775645989039381
2017-10-31,1.2464302741840447,0.877564598903938
2017-11-01,1.2880716462654291,0.877564598903938
2017-11-02,1.2880716462654294,0.877564598903938
2017-11-03,1.217775543567745,0.9214076843545904
2017-11-06,1.2177755435677449,0.8945287126726065
2017-11-07,1.1761341714863605,0.9450138396782973
2017-11-08,1.1761341714863602,0.9450138396782973
2017-11-09,1.217775543567745,0.9450138396782972
2017-11-10,1.217775543567745,0.9915069676823632
2017-11-13,1.217775543567745,0.9915069676823631
2017-11-14,1.2371443398028616,1.0446523379577402
2017-11-15,1.2371443398028616,1.10450434210126
2017-11-16,1.2690956870976513,1.10450434210126
2017-11-17,1.3167967824123332,1.1095116137334995
2017-11-20,1.2690956870976513,1.1095116137334995
2017-11-21,1.2690956870976513,1.1780858636989675
2017-11-22,1.2371443398028616,1.1095116137334995
2017-11-24,1.218898184086978,1.1095116137334995
2017-11-27,1.218898184086978,1.0629538934163292
2017-11-28,1.218898184086978,1.0629538934163292
2017-11-29,1.218898184086978,1.0629538934163292
2017-11-30,1.218898184086978,1.1095116137334995
2017-12-01,1.218898184086978,1.1095116137334995
2017-12-04,1.2658694759497653,1.1095116137334995
2017-12-05,1.3092720685475037,1.1780858636989675
2017-12-06,1.35485189217143,1.2151844272117094
2017-12-07,1.35485189217143,1.2151844272117094
2017-12-08,1.3092720685475037,1.2151844272117094
2017-12-11,1.3092720685475032,1.269581338630234
2017-12-12,1.4446050100141798,1.269581338630234
2017-12-13,1.4446050100141796,1.2151844272117094
2017-12-14,1.5176942419037094,1.269581338630234
2017-12-15,1.5829131977760242,1.357914082033496
2017-12-18,1.5496963118501181,1.434272205542794
2017-12-19,1.549696311850118,1.434272205542794
2017-12-20,1.549696311850118,1.4683758549146713
2017-12-21,1.5496963118501181,1.4683758549146713
2017-12-22,1.549696311850118,1.4683758549146713
2017-12-26,1.4989038475759198,1.4683758549146713
2017-12-27,1.3938125457399813,1.4683758549146713
2017-12-28,1.2809952729449483,1.434272205542794
2017-12-29,1.1849405990184727,1.3624605140446229
2018-01-02,1.1849405990184727,1.195871843168285
2018-01-03,1.1849405990184727,1.0529543541276445
2018-01-04,1.1211406371609272,1.0529543541276445
2018-01-05,1.1125252974671112,1.0418517084425052
2018-01-08,1.0474152488968589,1.1080653111642116
2018-01-09,1.0474152488968589,1.043945286719356
2018-01-10,0.9678050450942838,0.9777316839976498
2018-01-11,0.9454494959779299,0.9777316839976496
2018-01-12,0.9678050450942838,0.996721051388533
2018-01-16,0.9678050450942838,0.996721051388533
2018-01-17,0.9678050450942838,0.996721051388533
2018-01-18,0.9678050450942838,0.9967210513885328
2018-01-19,0.94544949597793,0.996721051388533
2018-01-22,0.9454494959779298,0.9967210513885328
2018-01-23,0.9678050450942838,0.996721051388533
2018-01-24,1.041994125348853,1.0330003027550678
2018-01-25,1.1059621630618615,1.0802245380858908
2018-01-26,1.1187614417447425,1.1080653111642116
2018-01-29,1.197224853816741,1.1161068971380084
2018-01-30,1.1972248538167407,1.1861340815591417
2018-01-31,1.1558352394025877,1.3350576274032968
2018-02-01,1.1558352394025873,1.4515993921260613
2018-02-02,1.226920496339711,1.5289193732723774
2018-02-05,1.2984377981875452,1.6277929041112795
2018-02-06,1.3528991494609,1.6897408622123111
2018-02-07,1.3942771071726738,1.769676424218397
2018-02-08,1.415796504101839,1.915628736829816
2018-02-09,1.4640649095802671,2.0020379379295097
2018-02-12,1.4640649095802671,2.033494648873182
2018-02-13,1.415796504101839,2.033494648873182
2018-02-14,1.464064909580267,2.064179284637916
2018-02-15,1.5617522352525157,2.1712654782740533
2018-02-16,1.5617522352525155,2.1712654782740533
2018-02-20,1.5617522352525155,2.238653909651787
2018-02-21,1.7856355520134457,2.238653909651787
2018-02-22,1.891848731193656,2.238653909651787
2018-02-23,1.9791525127518903,2.238653909651787
2018-02-26,1.9791525127518903,2.238653909651786
2018-02-27,2.154669916015582,2.238653909651787
2018-02-28,2.25269347144106,2.239605676697309
2018-03-01,2.317607428436254,2.3577102817829507
2018-03-02,2.331427270542068,2.3577102817829507
2018-03-05,2.4106934981022765,2.239605676697309
2018-03-06,2.3314272705420684,2.211909489219813
2018-03-07,2.331427270542068,2.178738151988477
2018-03-08,2.317607428436254,2.111349720610743
2018-03-09,2.3176074284362542,2.0597867899673625
2018-03-12,2.2526934714410602,1.9456094037362126
2018-03-13,2.3176074284362547,1.9456094037362135
2018-03-14,2.3176074284362533,1.9414942901484689
2018-03-15,2.3076644525846994,1.8529850332850115
2018-03-16,2.25269347144106,1.8329073024618945
2018-03-19,2.3076644525847003,1.8380662487903803
2018-03-20,2.2536982719748866,1.7794825817012558
2018-03-21,2.1524308356809256,1.7794825817012558
2018-03-22,2.2536982719748866,1.8380662487903803
2018-03-23,2.318612228970081,1.8925772110361636
2018-03-26,2.3690827644453507,1.9583149098107286
2018-03-27,2.4262285612276635,2.01239093525152
2018-03-28,2.509315381263475,2.01239093525152
2018-03-29,2.5093153812634745,2.01239093525152
2018-04-02,2.5093153812634745,2.01239093525152
2018-04-03,2.549612384894866,2.01239093525152
2018-04-04,2.827525240725286,2.181407953430427
2018-04-05,2.8275252407252864,2.181407953430427
2018-04-06,2.9089128358942347,2.367705872962436
2018-04-09,2.908912835894234,2.522259298208029
2018-04-10,2.908912835894234,2.522259298208029
2018-04-11,2.737765566572421,2.367705872962436
2018-04-12,2.7377655665724205,2.367705872962437
2018-04-13,2.7377655665724205,2.367705872962436
2018-04-16,2.7377655665724205,2.367705872962437
2018-04-17,2.706940754525756,2.367705872962436
2018-04-18,2.7069407545257564,2.367705872962436
2018-04-19,2.706940754525756,2.367705872962436
2018-04-20,2.5847747358617528,2.2880896925180085
2018-04-23,2.4653407422115006,2.0694053880619285
2018-04-24,2.4653407422115006,2.0694053880619285
2018-04-25,2.403201990304677,2.0694053880619285
2018-04-26,2.403201990304677,2.0694053880619285
2018-04-27,2.3550702689682166,2.0694053880619285
2018-04-30,2.299294367706092,2.0694053880619285
2018-05-01,2.299294367706092,2.0694053880619285
2018-05-02,2.2410149154010885,2.0439051601099494
2018-05-03,2.2807802674673603,2.1429208246796083
2018-05-04,2.2807802674673603,2.142920824679609
2018-05-07,2.200220455774244,2.0439051601099494
2018-05-08,2.092979402344927,2.0439051601099494
2018-05-09,2.200220455774244,2.049013578743433
2018-05-10,2.200220455774244,2.049013578743433
2018-05-11,2.092979402344927,2.0490135787434327
2018-05-14,2.092979402344927,2.049013578743433
2018-05-15,2.021767495519321,2.049013578743433
2018-05-16,2.0217674955193203,2.049013578743433
2018-05-17,1.8454888606145168,2.049013578743433
2018-05-18,1.696335137284616,1.8793134696081406
2018-05-21,1.6093239767675391,1.8793134696081404
2018-05-22,1.6093239767675391,1.7256345916396576
2018-05-23,1.62329165679682,1.7256345916396572
2018-05-24,1.4592730802675995,1.725634591639657
